ruby 2.7.0p0 (2019-12-25 revision 647ee6f091) [x86_64-darwin19]
Stephans-MacBook-Pro-2:Truffle stephan$ ruby Prime.rb
1. calculation took 813 ms
2. calculation took 806 ms
3. calculation took 815 ms
4. calculation took 801 ms
5. calculation took 859 ms
6. calculation took 826 ms
7. calculation took 834 ms
8. calculation took 836 ms
9. calculation took 849 ms
10. calculation took 826 ms
11. calculation took 821 ms
12. calculation took 845 ms
13. calculation took 815 ms
14. calculation took 821 ms
15. calculation took 795 ms
16. calculation took 804 ms
17. calculation took 844 ms
18. calculation took 860 ms
19. calculation took 827 ms
20. calculation took 829 ms
21. calculation took 815 ms
22. calculation took 813 ms
23. calculation took 829 ms
24. calculation took 864 ms
25. calculation took 823 ms
26. calculation took 829 ms
27. calculation took 856 ms
28. calculation took 848 ms
29. calculation took 913 ms
30. calculation took 901 ms
31. calculation took 843 ms
32. calculation took 824 ms
33. calculation took 865 ms
34. calculation took 834 ms
35. calculation took 885 ms
36. calculation took 951 ms
37. calculation took 899 ms
38. calculation took 881 ms
39. calculation took 826 ms
40. calculation took 818 ms
41. calculation took 839 ms
42. calculation took 867 ms
43. calculation took 871 ms
44. calculation took 903 ms
45. calculation took 848 ms
46. calculation took 877 ms
47. calculation took 832 ms
48. calculation took 872 ms
49. calculation took 909 ms
50. calculation took 880 ms
51. calculation took 892 ms
52. calculation took 859 ms
53. calculation took 943 ms
54. calculation took 915 ms
55. calculation took 885 ms
56. calculation took 989 ms
57. calculation took 870 ms
58. calculation took 936 ms
59. calculation took 886 ms
60. calculation took 862 ms
61. calculation took 808 ms
62. calculation took 875 ms
63. calculation took 870 ms
64. calculation took 825 ms
65. calculation took 855 ms
66. calculation took 864 ms
67. calculation took 859 ms
68. calculation took 859 ms
69. calculation took 847 ms
70. calculation took 852 ms
71. calculation took 901 ms
72. calculation took 861 ms
73. calculation took 817 ms
74. calculation took 812 ms
75. calculation took 823 ms
76. calculation took 840 ms
77. calculation took 877 ms
78. calculation took 829 ms
79. calculation took 822 ms
80. calculation took 822 ms
81. calculation took 828 ms
82. calculation took 825 ms
83. calculation took 831 ms
84. calculation took 829 ms
85. calculation took 842 ms
86. calculation took 824 ms
87. calculation took 853 ms
88. calculation took 849 ms
89. calculation took 864 ms
90. calculation took 848 ms
91. calculation took 840 ms
92. calculation took 881 ms
93. calculation took 931 ms
94. calculation took 892 ms
95. calculation took 891 ms
96. calculation took 878 ms
97. calculation took 880 ms
98. calculation took 835 ms
99. calculation took 843 ms
100. calculation took 847 ms
Average duration: 854
Average cold start: 826
Fasted run: 795 (#15)
Slowest run: 989 (#56)
