GraalVM Ruby
Downloading: Component catalog from www.graalvm.org
Processing Component: TruffleRuby
Component TruffleRuby (org.graalvm.ruby) is already installed.
truffleruby 20.1.0, like ruby 2.6.5, GraalVM CE Native [x86_64-darwin]
1. calculation took 658 ms
2. calculation took 550 ms
3. calculation took 456 ms
4. calculation took 707 ms
5. calculation took 469 ms
6. calculation took 236 ms
7. calculation took 362 ms
8. calculation took 378 ms
9. calculation took 514 ms
10. calculation took 380 ms
11. calculation took 408 ms
12. calculation took 751 ms
13. calculation took 521 ms
14. calculation took 230 ms
15. calculation took 257 ms
16. calculation took 339 ms
17. calculation took 303 ms
18. calculation took 364 ms
19. calculation took 629 ms
20. calculation took 466 ms
21. calculation took 503 ms
22. calculation took 260 ms
23. calculation took 376 ms
24. calculation took 341 ms
25. calculation took 307 ms
26. calculation took 477 ms
27. calculation took 380 ms
28. calculation took 459 ms
29. calculation took 839 ms
30. calculation took 249 ms
31. calculation took 200 ms
32. calculation took 271 ms
33. calculation took 377 ms
34. calculation took 449 ms
35. calculation took 496 ms
36. calculation took 851 ms
37. calculation took 535 ms
38. calculation took 238 ms
39. calculation took 366 ms
40. calculation took 411 ms
41. calculation took 331 ms
42. calculation took 376 ms
43. calculation took 647 ms
44. calculation took 464 ms
45. calculation took 496 ms
46. calculation took 264 ms
47. calculation took 204 ms
48. calculation took 251 ms
49. calculation took 428 ms
50. calculation took 372 ms
51. calculation took 439 ms
52. calculation took 776 ms
53. calculation took 542 ms
54. calculation took 242 ms
55. calculation took 357 ms
56. calculation took 406 ms
57. calculation took 343 ms
58. calculation took 387 ms
59. calculation took 683 ms
60. calculation took 483 ms
61. calculation took 540 ms
62. calculation took 274 ms
63. calculation took 206 ms
64. calculation took 342 ms
65. calculation took 343 ms
66. calculation took 557 ms
67. calculation took 405 ms
68. calculation took 489 ms
69. calculation took 890 ms
70. calculation took 266 ms
71. calculation took 287 ms
72. calculation took 317 ms
73. calculation took 407 ms
74. calculation took 452 ms
75. calculation took 778 ms
76. calculation took 500 ms
77. calculation took 540 ms
78. calculation took 275 ms
79. calculation took 212 ms
80. calculation took 258 ms
81. calculation took 327 ms
82. calculation took 509 ms
83. calculation took 421 ms
84. calculation took 487 ms
85. calculation took 871 ms
86. calculation took 262 ms
87. calculation took 278 ms
88. calculation took 313 ms
89. calculation took 413 ms
90. calculation took 442 ms
91. calculation took 753 ms
92. calculation took 505 ms
93. calculation took 575 ms
94. calculation took 299 ms
95. calculation took 208 ms
96. calculation took 311 ms
97. calculation took 303 ms
98. calculation took 506 ms
99. calculation took 393 ms
100. calculation took 489 ms
Average duration: 428
Average cold start: 471
Fasted run: 200 (#31)
Slowest run: 890 (#69)
