Graal;JVM;;Graal Q;JVM Q
;6,858807309;;;4,826526766
2281,472727;2437,954545;;1103,089109;1156,33
2294;2402;;1480;1285
2362;2480;;1386;1211
2242;2409;;1119;1154
2283;2472;;1172;1169
2253;2580;;1132;1143
2509;2583;;1101;1170
2405;2304;;1140;1237
2373;2508;;1071;1217
2362;2465;;1114;1176
2325;2521;;1103;1189
2395;2356;;1118;1164
2253;2447;;1105;1144
2259;2243;;1110;1152
2367;2279;;1093;1169
2280;2268;;1086;1152
2235;2271;;1091;1131
2175;2318;;1104;1148
2231;2335;;1083;1125
2204;2354;;1114;1135
2219;2394;;1103;1174
2293;2473;;1079;1152
2380;2643;;1119;1140
2282;2678;;1096;1145
2353;2719;;1098;1118
2452;2498;;1087;1128
2249;2416;;1104;1144
2307;2248;;1101;1332
2225;2378;;1092;1138
2263;2236;;1083;1135
2247;2392;;1083;1131
2278;2421;;1113;1153
2289;2504;;1106;1139
2207;2508;;1087;1136
2268;2522;;1077;1146
2275;2610;;1096;1147
2344;2454;;1085;1139
2260;2386;;1102;1146
2265;2448;;1107;1131
2291;2450;;1090;1176
2255;2454;;1075;1118
2336;2381;;1087;1179
2228;2389;;1091;1134
2188;2375;;1092;1137
2234;2355;;1087;1123
2206;2437;;1082;1146
2334;2547;;1092;1136
2290;2570;;1107;1140
2230;2543;;1117;1146
2207;2597;;1082;1130
2484;2625;;1098;1164
2431;2520;;1111;1119
2281;2432;;1094;1161
2305;2515;;1079;1141
2283;2493;;1087;1148
2357;2451;;1085;1146
2411;2350;;1104;1137
2280;2451;;1091;1154
2348;2402;;1091;1127
2253;2424;;1080;1125
2224;2393;;1093;1141
2331;2384;;1096;1128
2309;2434;;1088;1124
2202;2408;;1083;1113
2228;2449;;1102;1136
2176;2442;;1140;1110
2311;2479;;1173;1166
2235;2397;;1075;1123
2220;2356;;1121;1137
2162;2490;;1084;1122
2261;2396;;1079;1108
2268;2381;;1088;2175
2252;2356;;1082;1146
2150;2404;;1091;1124
2194;2394;;1074;1150
2214;2395;;1080;1155
2318;2325;;1106;1144
2201;2340;;1069;1119
2202;2396;;1076;1130
2228;2428;;1085;1127
2412;2383;;1101;1117
2316;2352;;1087;1160
2174;2350;;1073;1114
2221;2445;;1125;1122
2191;2382;;1081;1140
2239;2395;;1090;1126
2247;2318;;1078;1122
2210;2366;;1086;1126
2227;2392;;1106;1130
2183;2407;;1075;1149
2206;2361;;1078;1125
2341;2339;;1109;1112
2195;2339;;1081;1120
2219;2367;;1081;1136
2224;2398;;1075;1136
2196;2364;;1095;1131
2320;2462;;1112;1163
2191;2752;;1115;1142
2184;2750;;1108;1144
2209;2413;;1111;1170
2198;2440;;1115;1138
2276;2777;;1083;
2342;2460;;;
2368;2389;;;
2267;2465;;;
2321;2376;;;
2384;2586;;;
2243;2605;;;
2399;2557;;;
2584;2403;;;
2694;2451;;;
