Iteration	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	Counter 7	Counter 8	Counter 9	Counter 10	
1			69 ms		67 ms		66 ms		68 ms		67 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
2			63 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
3			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
4			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
5			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
11			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
21			63 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
31			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
41			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
51			62 ms		94 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
61			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
71			62 ms		93 ms		93 ms		93 ms		97 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
81			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
91			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
101			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
111			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
121			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
131			62 ms		93 ms		96 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
141			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
151			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
161			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
171			62 ms		93 ms		93 ms		94 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
181			63 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
191			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
201			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
211			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
221			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
231			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
241			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
251			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
261			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
271			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
281			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
291			62 ms		93 ms		93 ms		93 ms		93 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
