Iteration	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	Counter 7	Counter 8	Counter 9	Counter 10	
1			298 ms		50 ms		44 ms		242 ms		285 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
2			100 ms		31 ms		31 ms		233 ms		279 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
3			31 ms		31 ms		31 ms		234 ms		263 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
4			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
5			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
11			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
21			33 ms		31 ms		31 ms		238 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
31			31 ms		31 ms		31 ms		235 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
41			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
51			31 ms		31 ms		31 ms		234 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
61			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
71			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
81			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
91			31 ms		31 ms		31 ms		233 ms		246 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
101			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
111			31 ms		31 ms		31 ms		233 ms		248 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
121			31 ms		31 ms		31 ms		234 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
131			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
141			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
151			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
161			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
171			31 ms		31 ms		32 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
181			31 ms		31 ms		32 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
191			31 ms		31 ms		32 ms		233 ms		248 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
201			31 ms		31 ms		31 ms		233 ms		243 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
211			31 ms		31 ms		31 ms		237 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
221			32 ms		31 ms		31 ms		233 ms		244 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
231			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
241			31 ms		31 ms		31 ms		234 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
251			31 ms		31 ms		31 ms		234 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
261			31 ms		31 ms		31 ms		233 ms		241 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
271			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
281			31 ms		31 ms		31 ms		233 ms		242 ms		0 ms		0 ms		0 ms		0 ms		0 ms		
