/Library/Java/JavaVirtualMachines/graalvm-ce-java11-20.3.0/Contents/Home
openjdk 11.0.9 2020-10-20
OpenJDK Runtime Environment GraalVM CE 20.3.0 (build 11.0.9+10-jvmci-20.3-b06)
OpenJDK 64-Bit Server VM GraalVM CE 20.3.0 (build 11.0.9+10-jvmci-20.3-b06, mixed mode, sharing)
Iteration	Counter 1	Counter 2	Counter 3	Counter 4	Counter 5	Counter 6	Counter 7	Counter 8	Counter 9	Counter 10	
1			50 ms		35 ms		37 ms		38 ms		39 ms		41 ms		42 ms		44 ms		297 ms		401 ms		
2			33 ms		169 ms		177 ms		172 ms		173 ms		172 ms		174 ms		175 ms		347 ms		349 ms		
3			30 ms		169 ms		177 ms		174 ms		170 ms		171 ms		170 ms		175 ms		350 ms		347 ms		
4			31 ms		169 ms		174 ms		179 ms		174 ms		172 ms		171 ms		173 ms		354 ms		351 ms		
5			30 ms		169 ms		179 ms		173 ms		175 ms		175 ms		171 ms		172 ms		350 ms		352 ms		
11			29 ms		169 ms		173 ms		169 ms		174 ms		175 ms		172 ms		170 ms		353 ms		349 ms		
21			29 ms		169 ms		176 ms		173 ms		173 ms		172 ms		174 ms		173 ms		351 ms		351 ms		
31			30 ms		174 ms		177 ms		172 ms		171 ms		174 ms		175 ms		175 ms		355 ms		339 ms		
41			30 ms		169 ms		176 ms		171 ms		170 ms		172 ms		177 ms		169 ms		346 ms		339 ms		
51			31 ms		173 ms		175 ms		176 ms		172 ms		170 ms		176 ms		175 ms		339 ms		353 ms		
61			29 ms		173 ms		178 ms		172 ms		173 ms		173 ms		178 ms		175 ms		346 ms		335 ms		
71			29 ms		173 ms		176 ms		173 ms		174 ms		170 ms		175 ms		176 ms		344 ms		337 ms		
81			29 ms		172 ms		172 ms		172 ms		170 ms		176 ms		169 ms		173 ms		345 ms		364 ms		
91			29 ms		174 ms		171 ms		174 ms		175 ms		172 ms		171 ms		175 ms		344 ms		342 ms		
101			28 ms		172 ms		172 ms		173 ms		176 ms		171 ms		173 ms		175 ms		345 ms		370 ms		
111			28 ms		173 ms		179 ms		172 ms		173 ms		171 ms		172 ms		171 ms		346 ms		347 ms		
121			28 ms		173 ms		173 ms		173 ms		172 ms		172 ms		171 ms		169 ms		345 ms		349 ms		
131			28 ms		173 ms		177 ms		173 ms		172 ms		172 ms		174 ms		175 ms		343 ms		348 ms		
141			28 ms		172 ms		175 ms		172 ms		172 ms		172 ms		173 ms		177 ms		342 ms		339 ms		
151			28 ms		176 ms		175 ms		175 ms		171 ms		172 ms		172 ms		173 ms		343 ms		337 ms		
161			27 ms		175 ms		177 ms		171 ms		171 ms		171 ms		171 ms		175 ms		345 ms		338 ms		
